Date,Store1,Store2,Store3,Store4,Store5,Store6,Store7,Store8,Store9,Store10,Store11,Store12,Store13,Store14,Store15,Store16,Store17,Store18,Store19,Store20,Store21,Store22,Store23,Store24,Store25,Store26,Store27,Store28,Store29,Store30,Store31,Store32,Store33,Store34,Store35,Store36,Store37,Store38,Store39,Store40,Store41,Store42,Store43,Store44,Store45
1/1/2012,286,574,768,1152,1270,1716,1939,2224,2268,2890,3157,3288,3783,3920,4155,4272,4828,5112,5396,5640,5691,5984,6440,6840,6950,7202,7587,7924,7772,6060,8773,8960,5907,9588,9415,6444,7733,7866,10764,11200,11726,8442,8084,8800,12195
2/1/2012,290,580,768,1152,1300,1746,1946,2256,2259,2890,3124,3324,3861,3948,4215,4320,4777,5022,5472,5760,5691,5940,6486,6936,6900,7306,7830,8036,7714,6270,8928,9184,6072,9656,9380,6300,7770,8284,10803,11440,11767,8316,7955,8932,12285
3/1/2012,357,712,957,1436,1595,2136,2408,2768,2826,3600,3894,4128,4745,4900,5235,5472,5933,6264,6688,7120,7161,7590,8119,8616,8575,9048,9747,9968,9570,7800,11036,11424,8019,11968,11515,7884,9694,9918,13416,13920,14555,10794,10277,11044,15390
4/1/2012,285,578,765,1152,1265,1716,1918,2216,2259,2870,3113,3312,3809,3948,4185,4448,4777,5094,5377,5720,5670,6072,6440,6864,6850,7228,7830,7924,7656,6090,8835,9024,6336,9452,9415,6444,7844,8056,10803,11320,11685,8610,7998,8756,12240
5/1/2012,283,568,756,1144,1250,1698,1869,2192,2250,2830,3113,3300,3783,3990,4170,4384,4743,5022,5415,5760,5649,6050,6509,6840,6925,7098,7695,7980,7656,5760,8742,9152,6006,9486,9380,6444,7807,7942,10647,11280,11808,8694,7869,9064,12150
6/1/2012,354,708,933,1444,1545,2130,2408,2728,2817,3520,3894,4104,4706,4900,5145,5456,5882,6282,6726,7080,7056,7414,8050,8592,8625,8970,9612,9884,9512,7320,10912,11424,7722,11866,11795,7740,9583,10146,13338,14120,14678,10836,10105,11440,15120
7/1/2012,285,574,750,1148,1225,1716,1911,2200,2241,2820,3124,3276,3770,3934,4080,4400,4692,5004,5301,5700,5649,5874,6348,6864,6725,7150,7668,7896,7540,6030,8742,9056,6237,9792,9275,6300,7807,8056,10764,11240,11767,8610,8084,9240,11925
8/1/2012,358,722,939,1452,1540,2136,2373,2776,2799,3520,3927,4080,4732,4956,5130,5376,5865,6300,6688,7140,7056,7414,7981,8616,8575,9074,9666,9856,9483,7470,10881,11328,7722,12172,11725,7848,9731,10222,13611,13960,14760,10836,10148,11748,15210
9/1/2012,289,572,759,1152,1245,1728,1939,2208,2250,2830,3135,3228,3809,3920,4125,4384,4709,4986,5434,5780,5649,6028,6440,6864,6900,7176,7695,7868,7685,5940,8711,9120,6138,9656,9345,6372,7696,8170,10686,11280,11726,8526,8127,9328,12195
10/1/2012,288,574,771,1148,1250,1722,1925,2224,2259,2900,3091,3252,3796,3892,4185,4416,4828,4986,5415,5720,5670,6028,6417,6864,6800,7202,7749,7868,7569,5880,8742,9152,6105,9520,9415,6480,7770,8284,10764,11320,11685,8568,8342,9416,12015
